Democrat Strength Rating,State,State Abbreviation,CD#,2018 Cook PVI Score,2018 Winner,Party,flipped_seat,Dem Votes,GOP Votes,Other Votes,Dem %,GOP %,Other %,Dem Margin,2016 Clinton Margin,Swing vs. 2016 Prez,2016 Total Votes Cast,Raw Votes vs. 2016,Final?,2012 Winner,2016 winner,Pre-Election Rating,PVI Performance,Hold/ Flip,Clinton Vote Share,Trump Vote Share,Obama 2012,Romney 2012,Obama 2008,McCain 2008,2016-2012,2016-2008,2012-2008,City Lab Congressional Index,,Type of District,dense_suburban,pure_urban,pure_urban,rural_suburban_mix,sparse_suburban,urban_suburban_mix,flipped_seat,,,,,
222,California,CA,39,0,Gil Cisneros,D,1,"126,002","118,391",0,51.60%,48.40%,0.00%,3.10%,8.50%,-5.40%,"274,379",89.10%,x,Romney,Clinton,Toss Up,3.1,D Flip,51.5,42.9,47.1,50.8,47,49,4.4,4.5,0.1,Dense suburban,,1,1,0,0,0,0,0,,,,,,
411,Arkansas,AR,1,-17,Rick Crawford,R,,"57,907","138,757","4,581",28.80%,68.90%,2.30%,-40.20%,-34.80%,-5.40%,"260,716",77.20%,x,Romney,Trump,Solid R,23.2,R Hold,30.2,65,36.3,61,39.2,58,6.1,9,2.9,Pure rural,,0,0,1,0,0,0,0,,,,,,
184,California,CA,9,8,Jerry McNerney,D,,"113,414","87,349",0,56.50%,43.50%,0.00%,13.00%,18.20%,-5.20%,"243,453",82.50%,x,Obama ,Clinton,Solid D,5,D Hold,56.6,38,57.8,40.1,56,41,1.2,0.6,1.8,Dense suburban,,1,1,0,0,0,0,0,,,,,,
385,Florida,FL,4,-17,John Rutherford,R,,"123,351","248,420","9,478",32.40%,65.20%,2.50%,-32.80%,-28.00%,-4.80%,"421,712",90.40%,x,Romney,Trump,Solid R,15.8,R Hold,34.1,62.1,32.8,66.1,34.8,64.2,1.3,0.7,2,Sparse suburban,,0,0,0,0,0,0,0,,,,,,
244,Pennsylvania,PA,1,-1,Brian Fitzpatrick,R,,"160,745","169,053",0,48.70%,51.30%,0.00%,-2.50%,2.00%,-4.50%,"385,727",85.50%,x,Obama ,Clinton,Toss Up,1.5,R Hold,49.1,47.1,50.2,48.6,53.9,45,1.1,4.8,3.7,Sparse suburban,,0,0,0,0,0,0,0,,,,,,
82,California,CA,18,23,Anna Eshoo,D,,"225,142","77,096",0,74.50%,25.50%,0.00%,49.00%,53.20%,-4.20%,"335,138",90.20%,x,Obama ,Clinton,Solid D,26,D Hold,73.4,20.2,68.2,28.9,70,27,5.2,3.4,1.8,Urban-suburban mix,,0,0,0,0,0,0,0,,,,,,
349,Wisconsin,WI,5,-13,Jim Sensenbrenner,R,,"138,385","225,619",1,38.00%,62.00%,0.00%,-24.00%,-19.80%,-4.20%,"405,647",89.70%,x,Romney,Trump,Solid R,11,R Hold,37.3,57.4,37.7,61.3,41.8,57.2,0.4,4.5,4.1,Sparse suburban,,0,0,0,0,0,0,0,,,,,,
316,Nevada,NV,2,-7,Mark Amodei,R,,"120,102","167,435",0,41.80%,58.20%,0.00%,-16.50%,-12.40%,-4.10%,"326,011",88.20%,x,Romney,Trump,Solid R,9.5,R Hold,39.7,52,44.8,52.9,49.4,48.2,5.1,9.7,4.6,Rural-suburban mix,,0,0,0,0,0,0,0,,,,,,
85,California,CA,19,24,Zoe Lofgren,D,,"162,496","57,823",0,73.80%,26.20%,0.00%,47.50%,51.40%,-3.90%,"257,624",85.50%,x,Obama ,Clinton,Solid D,23.5,D Hold,72.9,21.5,71.2,26.5,68,29,1.7,4.9,3.2,Urban-suburban mix,,0,0,0,0,0,0,0,,,,,,
239,Texas,TX,23,-1,Will Hurd,R,,"102,359","103,285","4,425",48.70%,49.20%,2.10%,-0.40%,3.50%,-3.90%,"233,136",90.10%,x,Obama ,Clinton,Likely R,0.6,R Hold,49.8,46.4,48.1,50.7,50,49,1.7,0.2,1.9,Rural-suburban mix,,0,0,0,0,0,0,0,,,,,,
173,California,CA,31,8,Pete Aguilar,D,,"110,143","77,352",0,58.70%,41.30%,0.00%,17.50%,21.10%,-3.60%,"228,825",81.90%,x,Obama ,Clinton,Solid D,9.5,D Hold,57.7,36.6,57.2,40.6,56,41,0.5,1.7,1.2,Dense suburban,,1,1,0,0,0,0,0,,,,,,
158,Florida,FL,23,11,Debbie Wasserman Schultz,D,,"161,611","99,446","15,309",58.50%,36.00%,5.50%,22.50%,26.10%,-3.60%,"335,744",82.30%,x,Obama ,Clinton,Solid D,11.5,D Hold,61.9,35.8,61.4,38,62,37.3,0.5,0.1,0.6,Urban-suburban mix,,0,0,0,0,0,0,0,,,,,,
431,Texas,TX,11,-32,Mike Conaway,R,,"40,631","176,603","3,143",18.40%,80.10%,1.40%,-61.70%,-58.50%,-3.20%,"249,682",88.30%,x,Romney,Trump,Solid R,29.7,R Hold,19.1,77.8,19.6,79.2,23,76,0.5,3.9,3.4,Rural-suburban mix,,0,0,0,0,0,0,0,,,,,,
318,Utah,UT,2,-16,Chris Stewart,R,,"105,051","151,489","13,504",38.90%,56.10%,5.00%,-17.20%,-14.00%,-3.20%,"283,693",95.20%,x,Romney,Trump,Solid R,1.2,R Hold,32,46,29.2,68,38.4,58.5,2.8,6.4,9.2,Rural-suburban mix,,0,0,0,0,0,0,0,,,,,,
44,California,CA,12,37,Nancy Pelosi,D,,"275,292","41,780",0,86.80%,13.20%,0.00%,73.60%,76.60%,-3.00%,"362,965",87.40%,x,Obama ,Clinton,Solid D,36.6,D Hold,86.2,8.7,84.1,12.5,84,13,2.1,2.2,0.1,Pure urban,,0,0,0,0,0,0,0,,,,,,
326,Ohio,OH,15,-7,Steve Stivers,R,,"116,112","170,593","5,738",39.70%,58.30%,2.00%,-18.60%,-15.60%,-3.00%,"356,990",81.90%,x,Romney,Trump,Solid R,11.6,R Hold,39.9,55.3,46.3,51.9,46.1,52.2,6.4,6.2,0.2,Rural-suburban mix,,0,0,0,0,0,0,0,,,,,,
174,California,CA,24,7,Salud Carbajal,D,,"166,550","117,881",0,58.60%,41.40%,0.00%,17.10%,19.90%,-2.80%,"316,384",89.90%,x,Obama ,Clinton,Solid D,10.1,D Hold,56.7,36.5,54.1,43.1,56,41,2.6,0.7,1.9,Sparse suburban,,0,0,0,0,0,0,0,,,,,,
329,Georgia,GA,12,-9,Rick Allen,R,,"101,503","148,986",3,40.50%,59.50%,0.00%,-19.00%,-16.20%,-2.80%,"267,675",93.60%,x,Romney,Trump,Solid R,10,R Hold,40.7,56.9,43.6,55.4,43.9,55.6,2.9,3.2,0.3,Pure rural,,0,0,1,0,0,0,0,,,,,,
49,Washington,WA,7,33,Pramila Jayapal,D,,"329,800","64,881",0,83.60%,16.40%,0.00%,67.10%,69.80%,-2.70%,"415,979",94.90%,x,Obama ,Clinton,Solid D,34.1,D Hold,82.1,12.2,79.2,18.1,80.4,18,2.9,1.7,1.2,Urban-suburban mix,,0,0,0,0,0,0,0,,,,,,
417,Louisiana,LA,1,-24,Steve Scalise,R,,"71,521","192,555","5,249",26.60%,71.50%,1.90%,-44.90%,-42.20%,-2.70%,"354,783",75.90%,x,Romney,Trump,Solid R,20.9,R Hold,26.7,68.7,26.9,70.9,25.3,72.7,0.2,1.4,1.6,Rural-suburban mix,,0,0,0,0,0,0,0,,,,,,
396,Arkansas,AR,4,-17,Bruce Westerman,R,,"63,984","136,740","4,168",31.20%,66.70%,2.00%,-35.50%,-32.80%,-2.70%,"270,782",75.70%,x,Romney,Trump,Solid R,18.5,R Hold,31.3,64.2,35.9,61.8,37.4,59.9,4.6,6.1,1.5,Pure rural,,0,0,1,0,0,0,0,,,,,,
358,Washington,WA,4,-13,Dan Newhouse,R,,"83,785","141,551",0,37.20%,62.80%,0.00%,-25.60%,-22.90%,-2.70%,"242,666",92.90%,x,Romney,Trump,Solid R,12.6,R Hold,35.1,57.9,37.9,59.7,39.2,58.9,2.8,4.1,1.3,Rural-suburban mix,,0,0,0,0,0,0,0,,,,,,
80,California,CA,17,25,Ro Khanna,D,,"159,105","52,057",0,75.30%,24.70%,0.00%,50.70%,53.20%,-2.50%,"249,775",84.50%,x,Obama ,Clinton,Solid D,25.7,D Hold,73.9,20.5,71.9,25.5,69,28,2,4.9,2.9,Pure urban,,0,0,0,0,0,0,0,,,,,,
352,Florida,FL,19,-13,Francis Rooney,R,,"128,106","211,465",36,37.70%,62.30%,0.00%,-24.50%,-22.10%,-2.40%,"381,184",89.10%,x,Romney,Trump,Solid R,11.5,R Hold,37.5,59.6,38.7,60.5,42.3,56.8,1.2,4.8,3.6,Sparse suburban,,0,0,0,0,0,0,0,,,,,,
406,Tennessee,TN,8,-19,David Kustoff,R,,"74,755","168,030","5,560",30.10%,67.70%,2.20%,-37.60%,-35.40%,-2.20%,"298,758",83.10%,x,Romney,Trump,Solid R,18.6,R Hold,30.7,66.3,32.9,66.1,34.9,64.1,2.2,4.2,2,Rural-suburban mix,,0,0,0,0,0,0,0,,,,,,
361,Ohio,OH,5,-11,Bob Latta,R,,"99,655","176,569","7,393",35.10%,62.30%,2.60%,-27.10%,-24.90%,-2.20%,"361,856",78.40%,x,Romney,Trump,Solid R,16.1,R Hold,34.6,59.7,44.1,53.9,46,52.2,9.5,11.4,1.9,Rural-suburban mix,,0,0,0,0,0,0,0,,,,,,
42,Illinois,IL,7,38,Danny Davis,D,,"215,746","30,497",0,87.60%,12.40%,0.00%,75.20%,77.30%,-2.10%,"313,933",78.40%,x,Obama ,Clinton,Solid D,37.2,D Hold,87.4,9.2,87.2,11.8,89.4,9.9,0.2,2,2.2,Pure urban,,0,0,0,0,0,0,0,,,,,,
105,California,CA,35,19,Norma Torres,D,,"103,420","45,604",0,69.40%,30.60%,0.00%,38.80%,40.80%,-2.00%,"188,611",79.00%,x,Obama ,Clinton,Solid D,19.8,D Hold,67.7,26.9,67.4,30.6,64,32,0.3,3.7,3.4,Urban-suburban mix,,0,0,0,0,0,0,0,,,,,,
294,Wisconsin,WI,1,-5,Bryan Steil,R,,"137,508","177,492","10,013",42.30%,54.60%,3.10%,-12.30%,-10.30%,-2.00%,"359,815",90.30%,x,Romney,Trump,Likely R,7.3,R Hold,42.3,52.6,47.4,51.6,50.8,48.1,5.1,8.5,3.4,Sparse suburban,,0,0,0,0,0,0,0,,,,,,
68,Texas,TX,18,27,Sheila Jackson Lee,D,,"138,704","38,368","7,260",75.20%,20.80%,3.90%,54.40%,56.30%,-1.90%,"206,135",89.40%,x,Obama ,Clinton,Solid D,27.4,D Hold,76.5,20,76.1,22.8,77,23,0.4,0.5,0.9,Dense suburban,,1,1,0,0,0,0,0,,,,,,
137,Arizona,AZ,3,13,Raul Grijalva,D,,"114,650","64,868",0,63.90%,36.10%,0.00%,27.70%,29.50%,-1.80%,"211,797",84.80%,x,Obama ,Clinton,Solid D,14.7,D Hold,62.4,32.5,61.4,36.9,58.2,40.7,1,4.2,3.2,Dense suburban,,1,1,0,0,0,0,0,,,,,,
130,California,CA,47,13,Alan Lowenthal,D,,"143,354","77,682",0,64.90%,35.10%,0.00%,29.70%,31.50%,-1.80%,"259,263",85.30%,x,Obama ,Clinton,Solid D,16.7,D Hold,62.6,31,60,37.5,58,39,2.6,4.6,2,Pure urban,,0,0,0,0,0,0,0,,,,,,
109,California,CA,38,17,Linda Sanchez,D,,"139,188","62,968",0,68.90%,31.10%,0.00%,37.70%,39.50%,-1.80%,"248,271",81.40%,x,Obama ,Clinton,Solid D,20.7,D Hold,67,27.4,64.9,33,61,35,2.1,6,3.9,Pure urban,,0,0,0,0,0,0,0,,,,,,
432,Texas,TX,13,-33,Mac Thornberry,R,,"35,083","169,027","3,175",16.90%,81.50%,1.50%,-64.60%,-62.80%,-1.80%,"239,860",86.40%,x,Romney,Trump,Solid R,31.6,R Hold,16.9,79.9,18.5,80.2,22,77,1.6,5.1,3.5,Rural-suburban mix,,0,0,0,0,0,0,0,,,,,,
423,Texas,TX,19,-27,Jodey Arrington,R,,"50,039","151,946",0,24.80%,75.20%,0.00%,-50.50%,-48.70%,-1.80%,"229,585",88.00%,x,Romney,Trump,Solid R,23.5,R Hold,23.5,72.5,25,73.6,28,71,1.5,4.5,3,Rural-suburban mix,,0,0,0,0,0,0,0,,,,,,
305,Indiana,IN,5,-9,Susan Brooks,R,,"137,142","180,035",0,43.20%,56.80%,0.00%,-13.50%,-11.70%,-1.80%,"366,635",86.50%,x,Romney,Trump,Solid R,4.5,R Hold,41.3,53.1,40.7,57.5,46.6,52.6,0.6,5.3,5.9,Sparse suburban,,0,0,0,0,0,0,0,,,,,,
293,Michigan,MI,3,-6,Justin Amash,R,,"134,185","169,107","7,448",43.20%,54.40%,2.40%,-11.20%,-9.40%,-1.80%,"349,707",88.90%,x,Romney,Trump,Solid R,5.2,R Hold,42.2,51.6,45.8,53.1,49.7,48.6,3.6,7.5,3.9,Rural-suburban mix,,0,0,0,0,0,0,0,,,,,,
164,Texas,TX,34,10,Filemon Vela,D,,"85,825","57,243",0,60.00%,40.00%,0.00%,20.00%,21.50%,-1.50%,"172,183",83.10%,x,Obama ,Clinton,Solid D,10,D Hold,59.2,37.7,60.8,38.3,60,39,1.6,0.8,0.8,Rural-suburban mix,,0,0,0,0,0,0,0,,,,,,
392,Mississippi,MS,1,-16,Trent Kelly,R,,"76,601","158,245","1,675",32.40%,66.90%,0.70%,-34.50%,-33.00%,-1.50%,"310,621",76.10%,x,Romney,Trump,Solid R,18.5,R Hold,32.4,65.4,37,61.9,36.6,62.4,4.6,4.2,0.4,Pure rural,,0,0,1,0,0,0,0,,,,,,
220,California,CA,45,-3,Katie Porter,D,1,"158,906","146,383",0,52.10%,47.90%,0.00%,4.10%,5.40%,-1.30%,"329,144",92.80%,x,Romney,Clinton,Lean D,7.1,D Flip,49.8,44.4,43,54.8,46,51,6.8,3.8,3,Urban-suburban mix,,0,0,0,0,0,0,0,,,,,,
110,California,CA,32,17,Grace Napolitano,D,,"121,759","55,272",0,68.80%,31.20%,0.00%,37.60%,38.90%,-1.30%,"220,046",80.50%,x,Obama ,Clinton,Solid D,20.6,D Hold,66.6,27.7,65.2,32.5,62,35,1.4,4.6,3.2,Urban-suburban mix,,0,0,0,0,0,0,0,,,,,,
341,Wisconsin,WI,7,-8,Sean Duffy,R,,"124,307","194,061","4,419",38.50%,60.10%,1.40%,-21.60%,-20.30%,-1.30%,"373,201",86.50%,x,Romney,Trump,Solid R,13.6,R Hold,37.3,57.7,47.8,50.9,53.2,45.3,10.5,15.9,5.4,Pure rural,,0,0,1,0,0,0,0,,,,,,
102,California,CA,33,16,Ted Lieu,D,,"219,091","93,769",0,70.00%,30.00%,0.00%,40.10%,41.30%,-1.20%,"353,897",88.40%,x,Obama ,Clinton,Solid D,24.1,D Hold,67.8,26.5,60.6,36.8,64,33,7.2,3.8,3.4,Urban-suburban mix,,0,0,0,0,0,0,0,,,,,,
194,California,CA,7,3,Ami Bera,D,,"155,016","126,601",0,55.00%,45.00%,0.00%,10.10%,11.20%,-1.10%,"309,549",91.00%,x,Obama ,Clinton,Solid D,7.1,D Hold,52.3,40.9,50.8,46.8,51,46,1.5,1.3,0.2,Dense suburban,,1,1,0,0,0,0,0,,,,,,
388,Missouri,MO,6,-16,Sam Graves,R,,"97,660","199,796","7,953",32.00%,65.40%,2.60%,-33.40%,-32.30%,-1.10%,"356,840",85.60%,x,Romney,Trump,Solid R,17.4,R Hold,31.7,63.1,37.9,60,43.1,55.3,6.2,11.4,5.2,Rural-suburban mix,,0,0,0,0,0,0,0,,,,,,
357,Mississippi,MS,3,-13,Michael Guest,R,,"94,461","160,284","2,526",36.70%,62.30%,1.00%,-25.60%,-24.50%,-1.10%,"323,862",79.40%,x,Romney,Trump,Solid R,12.6,R Hold,36.8,61.3,39.1,60,38.4,60.8,2.3,1.6,0.7,Pure rural,,0,0,1,0,0,0,0,,,,,,
322,Illinois,IL,16,-8,Adam Kinzinger,R,,"104,569","151,254",2,40.90%,59.10%,0.00%,-18.20%,-17.10%,-1.10%,"318,212",80.40%,x,Romney,Trump,Solid R,10.2,R Hold,38.3,55.5,45.2,52.9,50,48.2,6.9,11.7,4.8,Rural-suburban mix,,0,0,0,0,0,0,0,,,,,,
302,California,CA,42,-9,Ken Calvert,R,,"100,892","131,040",0,43.50%,56.50%,0.00%,-13.00%,-12.00%,-1.00%,"268,305",86.40%,x,Romney,Trump,Solid R,4,R Hold,41.4,53.4,41.4,56.5,43,54,0,1.6,1.6,Sparse suburban,,0,0,0,0,0,0,0,,,,,,
383,Arkansas,AR,3,-19,Steve Womack,R,,"74,952","148,717","6,039",32.60%,64.70%,2.60%,-32.10%,-31.40%,-0.70%,"292,163",78.60%,x,Romney,Trump,Solid R,13.1,R Hold,30.5,61.9,31.6,65.5,33.9,63.7,1.1,3.4,2.3,Rural-suburban mix,,0,0,0,0,0,0,0,,,,,,
159,Connecticut,CT,4,7,Jim Himes,D,,"168,726","106,921",4,61.20%,38.80%,0.00%,22.40%,23.00%,-0.60%,"328,790",83.80%,x,Obama ,Clinton,Solid D,15.4,D Hold,59.6,36.6,55.1,44,59.6,39.7,4.5,0,4.5,Sparse suburban,,0,0,0,0,0,0,0,,,,,,
330,South Carolina,SC,7,-9,Tom Rice,R,,"96,564","142,681",309,40.30%,59.60%,0.10%,-19.30%,-18.70%,-0.60%,"299,421",80.00%,x,Romney,Trump,Solid R,10.3,R Hold,39.1,58,44.4,54.5,45.3,53.6,5.3,6.2,0.9,Rural-suburban mix,,0,0,0,0,0,0,0,,,,,,
286,Arizona,AZ,6,-9,David Schweikert,R,,"140,559","173,140",0,44.80%,55.20%,0.00%,-10.40%,-9.80%,-0.60%,"343,997",91.20%,x,Romney,Trump,Solid R,1.4,R Hold,42.4,52.4,38.8,59.5,41.2,57.7,3.6,1.2,2.4,Dense suburban,,1,1,0,0,0,0,0,,,,,,
429,Georgia,GA,9,-31,Doug Collins,R,,"57,912","224,661",5,20.50%,79.50%,0.00%,-59.00%,-58.50%,-0.50%,"297,215",95.10%,x,Romney,Trump,Solid R,28,R Hold,19.3,77.8,20.5,78.1,24.3,74.7,1.2,5,3.8,Pure rural,,0,0,1,0,0,0,0,,,,,,
374,Texas,TX,12,-18,Kay Granger,R,,"90,994","172,557","4,940",33.90%,64.30%,1.80%,-30.40%,-30.00%,-0.40%,"285,007",94.20%,x,Romney,Trump,Solid R,12.4,R Hold,32.7,62.9,31.7,66.8,35,64,1,2.3,3.3,Sparse suburban,,0,0,0,0,0,0,0,,,,,,
355,Michigan,MI,4,-10,John Moolenaar,R,,"106,540","178,510",0,37.40%,62.60%,0.00%,-25.20%,-24.80%,-0.40%,"328,832",86.70%,x,Romney,Trump,Solid R,15.2,R Hold,34.7,59.5,45.5,53.5,49.6,48.6,10.8,14.9,4.1,Pure rural,,0,0,1,0,0,0,0,,,,,,
315,Ohio,OH,2,-9,Brad Wenstrup,R,,"119,333","166,714","3,614",41.20%,57.60%,1.20%,-16.40%,-16.00%,-0.40%,"355,991",81.40%,x,Romney,Trump,Solid R,7.4,R Hold,39.7,55.8,43.7,54.7,44.3,54.2,4,4.6,0.6,Rural-suburban mix,,0,0,0,0,0,0,0,,,,,,
422,Texas,TX,8,-28,Kevin Brady,R,,"67,930","200,619","4,621",24.90%,73.40%,1.70%,-48.60%,-48.30%,-0.30%,"298,315",91.60%,x,Romney,Trump,Solid R,20.6,R Hold,23.9,72.7,21.7,77,26,73,2.2,2.1,4.3,Rural-suburban mix,,0,0,0,0,0,0,0,,,,,,
359,Georgia,GA,10,-15,Jody Hice,R,,"112,339","190,396",0,37.10%,62.90%,0.00%,-25.80%,-25.50%,-0.30%,"315,073",96.10%,x,Romney,Trump,Solid R,10.8,R Hold,35.8,61.3,36.3,62.5,38.8,60.4,0.5,3,2.5,Pure rural,,0,0,1,0,0,0,0,,,,,,
348,Texas,TX,27,-13,Michael Cloud,R,,"75,929","125,118","6,374",36.60%,60.30%,3.10%,-23.70%,-23.40%,-0.30%,"235,405",88.10%,x,Romney,Trump,Solid R,10.7,R Hold,36.5,60.1,38.2,60.5,40,59,1.7,3.5,1.8,Rural-suburban mix,,0,0,0,0,0,0,0,,,,,,
338,Florida,FL,8,-11,Bill Posey,R,,"142,415","218,112",0,39.50%,60.50%,0.00%,-21.00%,-20.70%,-0.30%,"401,911",89.70%,x,Romney,Trump,Solid R,10,R Hold,37.7,58.4,42.1,56.6,43.8,54.9,4.4,6.1,1.7,Sparse suburban,,0,0,0,0,0,0,0,,,,,,
59,California,CA,14,27,Jackie Speier,D,,"211,384","55,439",0,79.20%,20.80%,0.00%,58.40%,58.60%,-0.20%,"298,322",89.40%,x,Obama ,Clinton,Solid D,31.4,D Hold,76.9,18.2,74.2,23.6,73,24,2.7,3.9,1.2,Urban-suburban mix,,0,0,0,0,0,0,0,,,,,,
333,Texas,TX,14,-12,Randy Weber,R,,"92,212","138,942","3,374",39.30%,59.20%,1.40%,-19.90%,-19.70%,-0.20%,"264,338",88.70%,x,Romney,Trump,Solid R,7.9,R Hold,38.4,58.2,39.5,59.3,42,57,1.1,3.6,2.5,Sparse suburban,,0,0,0,0,0,0,0,,,,,,
425,Georgia,GA,14,-27,Tom Graves,R,,"53,981","175,743",0,23.50%,76.50%,0.00%,-53.00%,-52.90%,-0.10%,"255,872",89.80%,x,Romney,Trump,Solid R,26,R Hold,22.1,75,25.3,73.2,27.8,71,3.2,5.7,2.5,Rural-suburban mix,,0,0,0,0,0,0,0,,,,,,
